ID,num_lx,num_rx,DeltaSZ,DeltaSP,dNum,resp,acc,RT,Group,DeltaNB
102,13,16,2,1.666666667,0.333333333,1,1,0.513255091,4yo,0.299560282
102,8,32,2,-1.666666667,2,1,1,1.568455554,4yo,2
102,29,20,1.5,1.166666667,0.5,0,1,1.735261326,4yo,-0.5360529
102,32,23,1.833333333,-1.5,0.5,0,1,1.530520999,4yo,-0.476438044
102,18,16,1.5,-0.166666667,0.166666667,0,1,4.248169113,4yo,-0.169925001
102,11,16,-1.833333333,-0.166666667,0.5,1,1,3.870708607,4yo,0.540568381
102,8,10,-0.333333333,-2,0.333333333,0,0,3.715103961,4yo,0.321928095
102,16,18,-0.833333333,0.166666667,0.166666667,1,1,2.940889427,4yo,0.169925001
102,29,23,-1,-1,0.333333333,0,1,1.623809078,4yo,-0.334419039
102,8,32,-0.333333333,-2,2,1,1,1.259971344,4yo,2
102,16,13,0,-1.666666667,0.333333333,1,0,1.657507166,4yo,-0.299560282
102,32,8,-1.333333333,-1,2,0,1,2.115119812,4yo,-2
102,20,23,-0.166666667,1.5,0.166666667,1,1,1.606240719,4yo,0.201633861
102,20,25,2,0.333333333,0.333333333,1,1,0.914261623,4yo,0.321928095
102,9,13,-1.833333333,-0.5,0.5,1,1,4.425234401,4yo,0.530514717
102,18,13,1.833333333,-1.166666667,0.5,0,1,1.902631104,4yo,-0.469485283
102,8,11,-1.833333333,0.166666667,0.5,1,1,2.703016642,4yo,0.459431619
102,25,32,-1,-1.333333333,0.333333333,1,1,5.762500536,4yo,0.35614381
102,8,9,1.5,0.5,0.166666667,1,1,3.751457231,4yo,0.169925001
102,10,11,-0.166666667,-1.5,0.166666667,0,0,4.19894358,4yo,0.137503524
102,25,29,-0.5,-1.5,0.166666667,0,0,2.345001687,4yo,0.214124805
102,8,32,1,-0.666666667,2,1,1,3.412707108,4yo,2
102,14,11,0.333333333,-1,0.333333333,1,0,2.559183111,4yo,-0.347923303
102,11,10,-0.5,-0.5,0.166666667,0,1,1.969597958,4yo,-0.137503524
102,20,18,1.5,-0.833333333,0.166666667,1,0,1.987386639,4yo,-0.152003093
102,32,8,-0.333333333,0.333333333,2,0,1,2.548352478,4yo,-2
102,11,8,0.5,-1.166666667,0.5,1,0,4.215605758,4yo,-0.459431619
102,8,32,-1.666666667,0.666666667,2,1,1,3.604904816,4yo,2
102,20,16,-0.333333333,-0.333333333,0.333333333,1,0,0.000196095,4yo,-0.321928095
